"","Name","Sex","Occurrence","Year","Prop"
"392","Pamela","Female",108,1933,0.000107149979214888
"393","Tina","Female",107,1933,0.000106157849777713
"394","Jessica","Female",43,1933,4.26615657985203e-05
"395","Erica","Female",8,1933,7.93703549739913e-06
"396","Mary","Female",56931,1934,0.0545198592257416
"397","Rita","Female",3683,1934,0.0035270176446647
"398","Sandra","Female",2550,1934,0.00244200244200244
"399","Angela","Female",627,1934,0.000600445306327659
"400","Monica","Female",259,1934,0.00024803083626613
"401","Pamela","Female",147,1934,0.000140774258421317
"402","Tina","Female",118,1934,0.000113002465943642
"403","Jessica","Female",46,1934,4.40518087576911e-05
"404","Erica","Female",9,1934,8.61883214824391e-06
"405","Mary","Female",55074,1935,0.0525226593017578
"406","Sandra","Female",4089,1935,0.00389957427978516
"407","Rita","Female",3579,1935,0.00341320037841797
"408","Angela","Female",618,1935,0.000589370727539062
"409","Monica","Female",332,1935,0.000316619873046875
"410","Pamela","Female",194,1935,0.000185012817382812
"411","Tina","Female",104,1935,9.918212890625e-05
"412","Jessica","Female",47,1935,4.48226928710938e-05
"413","Erica","Female",7,1935,6.67572021484375e-06
"414","Mary","Female",54374,1936,0.0522637969349543
"415","Sandra","Female",5526,1936,0.00531154121202335
"416","Rita","Female",3333,1936,0.0032036494498143
"417","Angela","Female",595,1936,0.000571908617653618
"418","Monica","Female",273,1936,0.000262405130452836
"419","Pamela","Female",220,1936,0.000211462009888733
"420","Tina","Female",117,1936,0.000112459341622644
"421","Jessica","Female",43,1936,4.13312110237068e-05
"422","Mary","Female",55643,1937,0.0522942341290763
"423","Sandra","Female",7520,1937,0.00706742340726873
"424","Rita","Female",3421,1937,0.0032151137601418
"425","Angela","Female",784,1937,0.000736816482885464
"426","Monica","Female",292,1937,0.000274426547197137
"427","Pamela","Female",264,1937,0.00024811167280837
"428","Tina","Female",126,1937,0.00011841693474945
"429","Jessica","Female",71,1937,6.67270029143723e-05
"430","Erica","Female",7,1937,6.57871859719164e-06
"431","Mary","Female",56225,1938,0.050954657831203
"432","Sandra","Female",10806,1938,0.00979308194795873
"433","Rita","Female",3357,1938,0.00304232612431033
"434","Angela","Female",717,1938,0.000649790834414808
"435","Pamela","Female",314,1938,0.000284566697358786
"436","Monica","Female",269,1938,0.000243784845826476
"437","Tina","Female",107,1938,9.69701803101596e-05
"438","Jessica","Female",50,1938,4.53131683692334e-05
"439","Erica","Female",17,1938,1.54064772455394e-05
"440","Mary","Female",54900,1939,0.0500633314821755
"441","Sandra","Female",11970,1939,0.0109154476838186
"442","Rita","Female",3188,1939,0.00290713844745311
"443","Angela","Female",734,1939,0.0006693348872116
"444","Pamela","Female",337,1939,0.000307310431866906
"445","Monica","Female",256,1939,0.000233446500171893
"446","Tina","Female",145,1939,0.000132225556737986
"447","Jessica","Female",77,1939,7.02163301298273e-05
"448","Erica","Female",17,1939,1.55023066520398e-05
"449","Mary","Female",56214,1940,0.0491588668992241
"450","Sandra","Female",16154,1940,0.0141265936579867
"451","Rita","Female",3442,1940,0.00301001209426707
"452","Angela","Female",726,1940,0.000634883434177192
"453","Pamela","Female",631,1940,0.00055180640077935
"454","Monica","Female",285,1940,0.000249231100193526
"455","Tina","Female",172,1940,0.000150413155204514
"456","Jessica","Female",61,1940,5.33442003922985e-05
"457","Erica","Female",13,1940,1.13684361491784e-05
"458","Mary","Female",58049,1941,0.048048836006208
"459","Sandra","Female",19498,1941,0.0161390584583549
"460","Rita","Female",3879,1941,0.00321076047594413
"461","Pamela","Female",1468,1941,0.00121510605276772
"462","Angela","Female",822,1941,0.00068039317123642
"463","Monica","Female",261,1941,0.000216037247801345
"464","Tina","Female",156,1941,0.00012912571132954
"465","Jessica","Female",81,1941,6.70460424211071e-05
"466","Erica","Female",10,1941,8.277289187791e-06
"467","Mary","Female",63255,1942,0.0468315500499003
"468","Sandra","Female",24993,1942,0.0185038483977102
"469","Rita","Female",4706,1942,0.00348413998157981
"470","Pamela","Female",2632,1942,0.00194863077592819
"471","Angela","Female",1016,1942,0.00075220701684766
"472","Monica","Female",325,1942,0.000240617402042805
